Clan,Time,Members,Collectors,Thieves,Warriors,Food
2,81,10,5,3,2,23
1,82,10,5,3,2,20
2,82,10,5,3,2,23
1,83,10,5,3,2,20
2,83,10,5,3,2,27
1,84,10,5,3,2,20
2,84,10,5,3,2,27
1,85,10,5,3,2,25
2,85,10,5,3,2,27
1,86,10,5,3,2,25
2,86,10,5,3,2,27
1,87,10,5,3,2,29
2,87,10,5,3,2,27
1,88,10,5,3,2,29
2,88,10,5,3,2,27
1,89,10,5,3,2,34
2,89,10,5,3,2,29
1,90,10,5,3,2,38
2,90,10,5,3,2,29
1,91,10,5,3,2,38
2,91,10,5,3,2,29
1,92,10,5,3,2,38
2,92,10,5,3,2,29
1,93,10,5,3,2,38
2,93,10,5,3,2,32
1,94,10,5,3,2,38
2,94,10,5,3,2,32
1,95,10,5,3,2,38
2,95,10,5,3,2,32
1,96,20,10,6,4,18
2,96,20,10,6,4,12
1,97,20,10,6,4,18
2,97,20,10,6,4,12
1,98,20,10,6,4,18
2,98,20,10,6,4,12
1,99,20,10,6,4,18
2,99,20,10,6,4,12
1,100,20,10,6,4,18
2,100,20,10,6,4,12
1,100,20,10,6,4,18
2,100,20,10,6,4,12
1,101,20,10,6,4,18
2,101,20,10,6,4,12
1,102,20,10,6,4,18
2,102,20,10,6,4,12
1,103,20,10,6,4,33
2,103,20,10,6,4,12
1,104,20,10,6,4,38
2,104,20,10,6,4,12
1,105,20,10,6,4,47
2,105,20,10,6,4,12
1,106,20,10,6,4,47
2,106,20,10,6,4,17
1,107,20,10,6,4,47
2,107,20,10,6,4,17
1,108,20,10,6,4,47
2,108,20,10,6,4,27
1,109,20,10,6,4,48
2,109,20,10,6,4,27
1,110,20,10,6,4,48
2,110,20,10,6,4,27
1,111,20,10,6,4,48
2,111,20,10,6,4,27
1,112,20,10,6,4,48
2,112,20,10,6,4,27
1,113,20,10,6,4,48
2,113,20,10,6,4,27
1,114,20,10,6,4,48
2,114,20,10,6,4,27
1,115,20,10,6,4,48
2,115,20,10,6,4,27
1,116,20,10,6,4,48
2,116,20,10,6,4,27
1,117,20,10,6,4,53
2,117,20,10,6,4,33
1,118,20,10,6,4,53
2,118,20,10,6,4,33
1,119,20,10,6,4,53
2,119,20,10,6,4,33
1,120,20,10,6,4,21
2,120,20,10,6,4,13
1,121,20,10,6,4,21
2,121,20,10,6,4,13
1,122,20,10,6,4,21
2,122,20,10,6,4,13
1,123,20,10,6,4,21
2,123,20,10,6,4,13
1,124,20,10,6,4,21
2,124,20,10,6,4,13
1,125,20,10,6,4,21
2,125,20,10,6,4,13
1,126,20,10,6,4,21
2,126,20,10,6,4,13
1,127,20,10,6,4,21
2,127,20,10,6,4,18
1,128,20,10,6,4,21
2,128,20,10,6,4,18
1,129,20,10,6,4,21
2,129,20,10,6,4,23
1,130,20,10,6,4,21
2,130,20,10,6,4,23
1,131,20,10,6,4,21
2,131,20,10,6,4,23
1,132,20,10,6,4,31
2,132,20,10,6,4,23
1,133,20,10,6,4,31
2,133,20,10,6,4,24
1,134,20,10,6,4,31
2,134,20,10,6,4,31
1,135,20,10,6,4,40
2,135,20,10,6,4,31
1,136,20,10,6,4,40
2,136,20,10,6,4,32
1,137,20,10,6,4,40
2,137,20,10,6,4,32
1,138,20,10,6,4,40
2,138,20,10,6,4,34
1,139,20,10,6,4,40
2,139,20,10,6,4,34
1,140,20,10,6,4,40
2,140,20,10,6,4,34
1,141,20,10,6,4,40
2,141,20,10,6,4,34
1,142,20,10,6,4,40
2,142,20,10,6,4,34
1,143,20,10,6,4,40
2,143,20,10,6,4,34
1,144,20,10,6,4,5
2,144,20,10,6,4,9
1,145,20,10,6,4,5
2,145,20,10,6,4,9
1,146,20,10,6,4,5
2,146,20,10,6,4,9
1,147,20,10,6,4,5
2,147,20,10,6,4,9
1,148,20,10,6,4,5
2,148,20,10,6,4,9
1,149,20,10,6,4,5
2,149,20,10,6,4,9
1,150,20,10,6,4,5
2,150,20,10,6,4,9
1,151,20,10,6,4,5
2,151,20,10,6,4,14
1,152,20,10,6,4,5
2,152,20,10,6,4,14
1,153,20,10,6,4,5
2,153,20,10,6,4,19
1,154,20,10,6,4,5
2,154,20,10,6,4,22
1,155,20,10,6,4,5
2,155,20,10,6,4,22
1,156,20,10,6,4,5
2,156,20,10,6,4,22
1,157,20,10,6,4,10
2,157,20,10,6,4,22
1,158,20,10,6,4,10
2,158,20,10,6,4,22
1,159,20,10,6,4,18
2,159,20,10,6,4,22
1,160,20,10,6,4,20
2,160,20,10,6,4,22
1,161,20,10,6,4,20
2,161,20,10,6,4,22
1,162,20,10,6,4,22
2,162,20,10,6,4,22
1,163,20,10,6,4,27
2,163,20,10,6,4,22
1,164,20,10,6,4,27
2,164,20,10,6,4,22
1,165,20,10,6,4,27
2,165,20,10,6,4,22
1,166,20,10,6,4,27
2,166,20,10,6,4,22
1,167,20,10,6,4,27
2,167,20,10,6,4,22
1,168,40,20,12,8,7
2,168,38,19,11,8,0
1,169,40,20,12,8,7
2,169,38,19,11,8,0
1,170,40,20,12,8,7
2,170,38,19,11,8,0
1,171,40,20,12,8,7
2,171,38,19,11,8,0
1,172,40,20,12,8,7
2,172,38,19,11,8,0
1,173,40,20,12,8,7
2,173,38,19,11,8,0
1,174,40,20,12,8,7
2,174,38,19,11,8,0
1,175,40,20,12,8,7
2,175,38,19,11,8,0
1,176,40,20,12,8,7
2,176,38,19,11,8,0
1,177,40,20,12,8,12
2,177,38,19,11,8,5
1,178,40,20,12,8,17
2,178,38,19,11,8,10
1,179,40,20,12,8,27
2,179,38,19,11,8,15
1,180,40,20,12,8,27
2,180,38,19,11,8,15
1,181,40,20,12,8,27
2,181,38,19,11,8,15
1,182,40,20,12,8,31
2,182,38,19,11,8,15
1,183,40,20,12,8,32
2,183,38,19,11,8,15
1,184,40,20,12,8,32
2,184,36,19,11,6,15
1,184,40,20,12,8,32
2,184,36,19,11,6,15
1,185,40,20,12,8,32
2,185,36,19,11,6,15
1,186,40,20,12,8,32
2,186,36,19,11,6,16
1,187,40,20,12,8,33
2,187,36,19,11,6,16
1,188,40,20,12,8,33
2,188,36,19,11,6,16
1,189,40,20,12,8,33
2,189,36,19,11,6,17
1,190,40,20,12,8,33
2,190,36,19,11,6,18
1,191,40,20,12,8,33
2,191,36,19,11,6,18
1,192,40,20,12,8,6
2,192,36,19,11,6,0
1,193,40,20,12,8,6
2,193,36,19,11,6,0
1,194,40,20,12,8,6
2,194,36,19,11,6,0
1,195,40,20,12,8,6
2,195,36,19,11,6,0
1,196,40,20,12,8,6
2,196,36,19,11,6,0
1,197,40,20,12,8,6
2,197,36,19,11,6,0
1,198,40,20,12,8,6
2,198,36,19,11,6,0
1,199,40,20,12,8,6
2,199,36,19,11,6,0
1,200,40,20,12,8,6
2,200,36,19,11,6,0
1,201,40,20,12,8,11
2,201,36,19,11,6,0
1,202,40,20,12,8,11
2,202,36,19,11,6,5
1,203,40,20,12,8,11
2,203,36,19,11,6,5
1,204,40,20,12,8,11
2,204,36,19,11,6,5
1,205,40,20,12,8,21
2,205,36,19,11,6,5
1,206,40,20,12,8,21
2,206,36,19,11,6,14
1,207,40,20,12,8,21
2,207,36,19,11,6,14
1,209,38,20,12,6,21
2,209,34,19,11,4,19
1,210,38,20,12,6,21
2,210,34,19,11,4,19
1,211,38,20,12,6,21
2,211,34,19,11,4,19
1,212,38,20,12,6,25
2,212,34,19,11,4,19
1,213,38,20,12,6,25
2,213,34,19,11,4,19
1,214,38,20,12,6,25
2,214,34,19,11,4,20
1,215,38,20,12,6,25
2,215,34,19,11,4,20
1,216,38,20,12,6,0
2,216,27,19,4,4,0
1,217,38,20,12,6,0
2,217,27,19,4,4,0
1,218,38,20,12,6,0
2,218,27,19,4,4,0
1,219,38,20,12,6,0
2,219,27,19,4,4,0
1,220,38,20,12,6,0
2,220,27,19,4,4,0
1,221,38,20,12,6,0
2,221,27,19,4,4,0
1,222,38,20,12,6,0
2,222,27,19,4,4,0
1,223,38,20,12,6,0
2,223,27,19,4,4,0
1,224,38,20,12,6,0
2,224,27,19,4,4,0
1,225,38,20,12,6,0
2,225,27,19,4,4,0
1,226,38,20,12,6,0
2,226,27,19,4,4,0
1,227,38,20,12,6,5
2,227,27,19,4,4,5
1,228,38,20,12,6,5
2,228,27,19,4,4,5
1,229,38,20,12,6,5
2,229,27,19,4,4,10
1,230,38,20,12,6,5
2,230,27,19,4,4,10
1,231,38,20,12,6,5
2,231,27,19,4,4,10
1,232,29,20,9,0,5
2,232,13,10,3,0,15
1,233,29,20,9,0,5
2,233,13,10,3,0,15
1,234,29,20,9,0,5
2,234,13,10,3,0,15
1,235,29,20,9,0,5
2,235,13,10,3,0,15
1,236,29,20,9,0,5
2,236,13,10,3,0,15
1,237,29,20,9,0,5
2,237,13,10,3,0,15
1,238,29,20,9,0,5
2,238,13,10,3,0,15
1,239,29,20,9,0,12
2,239,13,10,3,0,15
1,240,15,11,4,0,0
2,240,13,10,3,0,0
1,241,15,11,4,0,0
2,241,13,10,3,0,0
1,242,15,11,4,0,0
2,242,13,10,3,0,0
1,243,15,11,4,0,0
2,243,13,10,3,0,0
1,244,15,11,4,0,0
2,244,13,10,3,0,0
1,245,15,11,4,0,0
2,245,13,10,3,0,0
1,246,15,11,4,0,0
2,246,13,10,3,0,0
1,247,15,11,4,0,0
2,247,13,10,3,0,0
1,248,15,11,4,0,0
2,248,13,10,3,0,0
1,249,15,11,4,0,5
2,249,13,10,3,0,0
1,250,15,11,4,0,5
2,250,13,10,3,0,0
1,251,15,11,4,0,10
2,251,13,10,3,0,0
1,251,15,11,4,0,10
2,251,13,10,3,0,0
1,252,15,11,4,0,10
2,252,13,10,3,0,0
1,252,15,11,4,0,10
2,252,13,10,3,0,0
1,253,15,11,4,0,10
2,253,13,10,3,0,0
1,255,15,11,4,0,15
2,255,13,10,3,0,0
1,255,15,11,4,0,15
2,255,13,10,3,0,0
1,256,15,11,4,0,15
2,256,10,10,0,0,0
1,257,15,11,4,0,15
2,257,10,10,0,0,2
1,258,15,11,4,0,21
2,258,10,10,0,0,2
1,259,15,11,4,0,21
2,259,10,10,0,0,2
1,260,15,11,4,0,21
2,260,10,10,0,0,2
1,261,15,11,4,0,21
2,261,10,10,0,0,7
1,262,15,11,4,0,21
2,262,10,10,0,0,7
1,263,15,11,4,0,21
2,263,10,10,0,0,7
1,264,15,11,4,0,0
2,264,7,7,0,0,0
1,265,15,11,4,0,0
2,265,7,7,0,0,0
1,266,15,11,4,0,0
2,266,7,7,0,0,0
1,267,15,11,4,0,0
2,267,7,7,0,0,0
1,268,15,11,4,0,5
2,268,7,7,0,0,0
1,269,15,11,4,0,10
2,269,7,7,0,0,0
1,270,15,11,4,0,10
2,270,7,7,0,0,0
1,271,15,11,4,0,10
2,271,7,7,0,0,0
1,272,15,11,4,0,15
2,272,7,7,0,0,0
1,273,15,11,4,0,15
2,273,7,7,0,0,0
1,274,15,11,4,0,15
2,274,7,7,0,0,0
1,275,15,11,4,0,15
2,275,7,7,0,0,0
1,276,15,11,4,0,15
2,276,7,7,0,0,0
1,277,15,11,4,0,20
2,277,7,7,0,0,0
1,277,15,11,4,0,20
2,277,7,7,0,0,0
1,278,15,11,4,0,30
2,278,7,7,0,0,5
1,279,15,11,4,0,30
2,279,7,7,0,0,5
1,280,15,11,4,0,30
2,280,7,7,0,0,5
1,280,10,8,2,0,30
2,280,5,5,0,0,5
1,281,10,8,2,0,30
2,281,5,5,0,0,10
1,282,10,8,2,0,30
2,282,5,5,0,0,10
1,283,10,8,2,0,30
2,283,5,5,0,0,10
1,284,10,8,2,0,30
2,284,5,5,0,0,10
1,285,10,8,2,0,30
2,285,5,5,0,0,10
1,286,10,8,2,0,30
2,286,5,5,0,0,10
1,287,10,8,2,0,32
2,287,5,5,0,0,10
1,289,11,8,2,1,0
2,289,5,5,0,0,0
1,290,11,8,2,1,0
2,290,5,5,0,0,0
1,291,11,8,2,1,0
2,291,5,5,0,0,0
1,292,11,8,2,1,0
2,292,5,5,0,0,0
1,293,11,8,2,1,0
2,293,5,5,0,0,0
1,294,11,8,2,1,0
2,294,5,5,0,0,0
1,295,11,8,2,1,0
2,295,5,5,0,0,0
1,296,11,8,2,1,10
2,296,5,5,0,0,0
1,297,11,8,2,1,10
2,297,5,5,0,0,0
1,298,11,8,2,1,10
2,298,5,5,0,0,5
1,299,11,8,2,1,15
2,299,5,5,0,0,5
1,300,11,8,2,1,20
2,300,5,5,0,0,10
1,301,11,8,2,1,20
2,301,5,5,0,0,10
1,302,11,8,2,1,25
2,302,5,5,0,0,10
1,303,11,8,2,1,25
2,303,5,5,0,0,10
1,304,11,8,2,1,25
2,304,5,5,0,0,10
1,305,11,8,2,1,25
2,305,5,5,0,0,10
1,306,11,8,2,1,25
2,306,5,5,0,0,10
1,307,11,8,2,1,27
2,307,5,5,0,0,10
1,308,11,8,2,1,33
2,308,5,5,0,0,10
1,309,11,8,2,1,33
2,309,5,5,0,0,10
1,310,11,8,2,1,33
2,310,5,5,0,0,10
1,310,11,8,2,1,33
2,310,5,5,0,0,10
1,311,11,8,2,1,33
2,311,5,5,0,0,10
1,312,13,10,2,1,12
2,312,5,5,0,0,0
1,313,13,10,2,1,12
2,313,5,5,0,0,0
1,314,13,10,2,1,12
2,314,5,5,0,0,0
1,315,13,10,2,1,12
2,315,5,5,0,0,0
1,316,13,10,2,1,12
2,316,5,5,0,0,0
1,317,13,10,2,1,12
2,317,5,5,0,0,0
1,318,13,10,2,1,12
2,318,5,5,0,0,0
1,319,13,10,2,1,12
2,319,5,5,0,0,0
1,320,13,10,2,1,12
2,320,5,5,0,0,0
1,321,13,10,2,1,12
2,321,5,5,0,0,0
1,322,13,10,2,1,12
2,322,5,5,0,0,0
1,323,13,10,2,1,12
2,323,5,5,0,0,0
1,324,13,10,2,1,22
2,324,5,5,0,0,0
1,325,13,10,2,1,27
2,325,5,5,0,0,5
1,326,13,10,2,1,27
2,326,5,5,0,0,5
1,327,13,10,2,1,27
2,327,5,5,0,0,5
1,328,13,10,2,1,27
2,328,5,5,0,0,5
1,329,13,10,2,1,27
2,329,5,5,0,0,5
1,330,13,10,2,1,27
2,330,5,5,0,0,5
1,331,13,10,2,1,27
2,331,5,5,0,0,5
1,332,13,10,2,1,27
2,332,5,5,0,0,10
1,333,13,10,2,1,27
2,333,5,5,0,0,13
1,334,13,10,2,1,32
2,334,5,5,0,0,13
1,335,13,10,2,1,37
2,335,5,5,0,0,13
1,336,13,10,2,1,37
2,336,5,5,0,0,13
1,337,13,10,2,1,15
2,337,5,5,0,0,3
1,338,13,10,2,1,15
2,338,5,5,0,0,3
1,339,13,10,2,1,15
2,339,5,5,0,0,3
1,340,13,10,2,1,15
2,340,5,5,0,0,3
1,341,13,10,2,1,15
2,341,5,5,0,0,3
1,342,13,10,2,1,15
2,342,5,5,0,0,3
1,343,13,10,2,1,15
2,343,5,5,0,0,3
1,344,13,10,2,1,20
2,344,5,5,0,0,3
1,345,13,10,2,1,20
2,345,5,5,0,0,3
1,346,13,10,2,1,20
2,346,5,5,0,0,3
1,347,13,10,2,1,20
2,347,5,5,0,0,3
1,348,13,10,2,1,20
2,348,5,5,0,0,3
1,349,13,10,2,1,25
2,349,5,5,0,0,3
1,350,13,10,2,1,25
2,350,5,5,0,0,3
1,351,13,10,2,1,35
2,351,5,5,0,0,3
1,352,13,10,2,1,35
2,352,5,5,0,0,3
1,353,13,10,2,1,35
2,353,5,5,0,0,3
1,354,13,10,2,1,35
2,354,5,5,0,0,3
1,355,13,10,2,1,35
2,355,5,5,0,0,3
1,356,13,10,2,1,35
2,356,5,5,0,0,3
1,357,13,10,2,1,40
2,357,5,5,0,0,3
1,358,13,10,2,1,40
2,358,5,5,0,0,9
1,359,13,10,2,1,50
2,359,5,5,0,0,9
1,360,13,10,2,1,50
2,360,5,5,0,0,9
1,361,9,5,3,1,27
2,361,0,0,0,0,4
1,362,9,5,3,1,27
2,362,0,0,0,0,4
1,363,9,5,3,1,27
2,363,0,0,0,0,4
1,364,9,5,3,1,27
2,364,0,0,0,0,4
1,364,9,5,3,1,27
2,364,0,0,0,0,4
1,365,9,5,3,1,27
2,365,0,0,0,0,4
1,366,9,5,3,1,27
2,366,0,0,0,0,4
1,367,9,5,3,1,27
2,367,0,0,0,0,4
1,368,9,5,3,1,27
2,368,0,0,0,0,4
1,369,9,5,3,1,27
2,369,0,0,0,0,4
1,370,9,5,3,1,27
2,370,0,0,0,0,4
1,371,9,5,3,1,27
2,371,0,0,0,0,4
1,372,9,5,3,1,27
2,372,0,0,0,0,4
1,373,9,5,3,1,27
2,373,0,0,0,0,4
1,374,9,5,3,1,32
2,374,0,0,0,0,4
1,375,9,5,3,1,32
2,375,0,0,0,0,4
1,376,9,5,3,1,32
2,376,0,0,0,0,4
1,377,9,5,3,1,32
2,377,0,0,0,0,4
1,378,9,5,3,1,32
2,378,0,0,0,0,4
1,379,9,5,3,1,32
2,379,0,0,0,0,4
1,380,9,5,3,1,37
2,380,0,0,0,0,4
1,381,9,5,3,1,41
2,381,0,0,0,0,4
1,382,9,5,3,1,41
2,382,0,0,0,0,4
1,383,9,5,3,1,41
2,383,0,0,0,0,4
1,384,9,5,3,1,45
2,384,0,0,0,0,4
1,385,13,7,5,1,26
2,385,0,0,0,0,4
1,386,13,7,5,1,26
2,386,0,0,0,0,4
1,387,13,7,5,1,26
2,387,0,0,0,0,4
1,388,13,7,5,1,26
2,388,0,0,0,0,4
1,389,13,7,5,1,26
2,389,0,0,0,0,4
1,390,13,7,5,1,26
2,390,0,0,0,0,4
1,391,13,7,5,1,26
2,391,0,0,0,0,4
1,392,13,7,5,1,26
2,392,0,0,0,0,4
1,393,13,7,5,1,26
2,393,0,0,0,0,4
1,394,13,7,5,1,26
2,394,0,0,0,0,4
1,394,13,7,5,1,26
2,394,0,0,0,0,4
1,395,13,7,5,1,31
2,395,0,0,0,0,4
1,396,13,7,5,1,36
2,396,0,0,0,0,4
1,397,13,7,5,1,41
2,397,0,0,0,0,4
1,398,13,7,5,1,41
2,398,0,0,0,0,4
1,399,13,7,5,1,41
2,399,0,0,0,0,4
1,400,13,7,5,1,41
2,400,0,0,0,0,4
1,400,13,7,5,1,41
2,400,0,0,0,0,4
1,401,13,7,5,1,46
2,401,0,0,0,0,4
1,402,13,7,5,1,46
2,402,0,0,0,0,4
1,403,13,7,5,1,61
2,403,0,0,0,0,4
1,404,13,7,5,1,61
2,404,0,0,0,0,4
1,405,13,7,5,1,61
2,405,0,0,0,0,4
1,406,13,7,5,1,61
2,406,0,0,0,0,4
1,407,13,7,5,1,61
2,407,0,0,0,0,4
1,408,13,7,5,1,61
2,408,0,0,0,0,4
1,409,13,7,5,1,34
2,409,0,0,0,0,4
1,410,13,7,5,1,34
2,410,0,0,0,0,4
1,411,13,7,5,1,34
2,411,0,0,0,0,4
1,412,13,7,5,1,34
2,412,0,0,0,0,4
1,413,13,7,5,1,34
2,413,0,0,0,0,4
1,414,13,7,5,1,34
2,414,0,0,0,0,4
1,415,13,7,5,1,39
2,415,0,0,0,0,4
1,416,13,7,5,1,39
2,416,0,0,0,0,4
1,417,13,7,5,1,39
2,417,0,0,0,0,4
1,418,13,7,5,1,39
2,418,0,0,0,0,4
1,419,13,7,5,1,39
2,419,0,0,0,0,4
1,420,13,7,5,1,54
2,420,0,0,0,0,4
1,421,13,7,5,1,54
2,421,0,0,0,0,4
1,422,13,7,5,1,54
2,422,0,0,0,0,4
1,423,13,7,5,1,59
2,423,0,0,0,0,4
1,424,13,7,5,1,64
2,424,0,0,0,0,4
1,425,13,7,5,1,64
2,425,0,0,0,0,4
1,426,13,7,5,1,64
2,426,0,0,0,0,4
1,427,13,7,5,1,68
2,427,0,0,0,0,4
1,428,13,7,5,1,68
2,428,0,0,0,0,4
1,429,13,7,5,1,68
2,429,0,0,0,0,4
1,430,13,7,5,1,68
2,430,0,0,0,0,4
1,430,13,7,5,1,68
2,430,0,0,0,0,4
1,431,13,7,5,1,68
2,431,0,0,0,0,4
1,432,13,7,5,1,68
2,432,0,0,0,0,4
1,433,12,6,5,1,42
2,433,0,0,0,0,4
1,434,12,6,5,1,42
2,434,0,0,0,0,4
1,435,12,6,5,1,42
2,435,0,0,0,0,4
1,436,12,6,5,1,42
2,436,0,0,0,0,4
1,437,12,6,5,1,42
2,437,0,0,0,0,4
1,438,12,6,5,1,42
2,438,0,0,0,0,4
1,439,12,6,5,1,42
2,439,0,0,0,0,4
1,440,12,6,5,1,42
2,440,0,0,0,0,4
1,441,12,6,5,1,47
2,441,0,0,0,0,4
1,442,12,6,5,1,47
2,442,0,0,0,0,4
1,443,12,6,5,1,47
2,443,0,0,0,0,4
1,444,12,6,5,1,47
2,444,0,0,0,0,4
1,445,12,6,5,1,52
2,445,0,0,0,0,4
1,446,12,6,5,1,52
2,446,0,0,0,0,4
1,447,12,6,5,1,52
2,447,0,0,0,0,4
1,448,12,6,5,1,52
2,448,0,0,0,0,4
1,449,12,6,5,1,52
2,449,0,0,0,0,4
1,450,12,6,5,1,52
2,450,0,0,0,0,4
1,451,12,6,5,1,52
2,451,0,0,0,0,4
1,452,12,6,5,1,52
2,452,0,0,0,0,4
1,453,12,6,5,1,68
2,453,0,0,0,0,4
1,454,12,6,5,1,68
2,454,0,0,0,0,4
1,455,12,6,5,1,68
2,455,0,0,0,0,4
1,456,12,6,5,1,68
2,456,0,0,0,0,4
1,457,18,9,7,2,45
2,457,0,0,0,0,4
1,458,18,9,7,2,45
2,458,0,0,0,0,4
1,459,18,9,7,2,45
2,459,0,0,0,0,4
1,460,18,9,7,2,45
2,460,0,0,0,0,4
1,460,18,9,7,2,45
2,460,0,0,0,0,4
1,461,18,9,7,2,45
2,461,0,0,0,0,4
1,462,18,9,7,2,45
2,462,0,0,0,0,4
1,463,18,9,7,2,45
2,463,0,0,0,0,4
1,464,18,9,7,2,45
2,464,0,0,0,0,4
1,465,18,9,7,2,45
2,465,0,0,0,0,4
1,466,18,9,7,2,45
2,466,0,0,0,0,4
1,467,18,9,7,2,50
2,467,0,0,0,0,4
1,468,18,9,7,2,50
2,468,0,0,0,0,4
1,469,18,9,7,2,50
2,469,0,0,0,0,4
1,470,18,9,7,2,60
2,470,0,0,0,0,4
1,471,18,9,7,2,65
2,471,0,0,0,0,4
1,472,18,9,7,2,70
2,472,0,0,0,0,4
1,473,18,9,7,2,75
2,473,0,0,0,0,4
1,474,18,9,7,2,85
2,474,0,0,0,0,4
1,475,18,9,7,2,85
2,475,0,0,0,0,4
1,476,18,9,7,2,85
2,476,0,0,0,0,4
1,477,18,9,7,2,90
2,477,0,0,0,0,4
1,478,18,9,7,2,90
2,478,0,0,0,0,4
1,479,18,9,7,2,90
2,479,0,0,0,0,4
1,480,18,9,7,2,90
2,480,0,0,0,0,4
1,481,18,9,7,2,52
2,481,0,0,0,0,4
1,482,18,9,7,2,52
2,482,0,0,0,0,4
1,483,18,9,7,2,52
2,483,0,0,0,0,4
1,484,18,9,7,2,52
2,484,0,0,0,0,4
1,485,18,9,7,2,52
2,485,0,0,0,0,4
1,486,18,9,7,2,52
2,486,0,0,0,0,4
